geo_id,total_pop,white_pop,black_pop,asian_pop,hispanic_pop,amerindian_pop,median_income
16043,12965.0,11003.0,37.0,19.0,1628.0,33.0,53311.0
55005,45252.0,42355.0,627.0,323.0,1111.0,338.0,50903.0
45031,67253.0,36901.0,27353.0,300.0,1338.0,252.0,36254.0
17085,21834.0,20695.0,110.0,95.0,648.0,57.0,57083.0
12131,65858.0,55560.0,3085.0,632.0,4029.0,301.0,53785.0
33019,43125.0,41047.0,291.0,328.0,644.0,217.0,60780.0
51007,12854.0,9426.0,2737.0,0.0,383.0,31.0,58526.0
29091,40102.0,37838.0,188.0,178.0,848.0,207.0,36143.0
26089,21639.0,19483.0,79.0,146.0,938.0,600.0,63831.0
51036,6995.0,2925.0,3255.0,23.0,129.0,448.0,59192.0
12043,13363.0,8053.0,1762.0,54.0,2790.0,516.0,39879.0
46029,27993.0,26027.0,168.0,164.0,638.0,527.0,54774.0
37105,60125.0,34901.0,11642.0,644.0,11556.0,424.0,48873.0
31019,49030.0,42715.0,496.0,693.0,4326.0,62.0,56952.0
06015,27424.0,17172.0,758.0,937.0,5340.0,1841.0,45258.0
21113,52422.0,46748.0,2121.0,751.0,1759.0,146.0,56728.0
51009,31882.0,23951.0,5665.0,152.0,774.0,123.0,49170.0
21145,65284.0,54451.0,7148.0,482.0,1594.0,166.0,44486.0
26063,31543.0,30066.0,124.0,184.0,741.0,73.0,46320.0
72057,41706.0,421.0,74.0,0.0,41209.0,0.0,16374.0
35017,28061.0,12915.0,157.0,37.0,14127.0,525.0,37880.0
27005,33773.0,29190.0,184.0,206.0,674.0,2450.0,59278.0
17187,17338.0,14455.0,449.0,448.0,1631.0,40.0,49607.0
26005,115250.0,102072.0,1562.0,781.0,8392.0,533.0,59883.0
01055,102939.0,80374.0,15816.0,739.0,3880.0,424.0,44023.0
55021,56954.0,52888.0,701.0,430.0,1837.0,194.0,65348.0
55007,14992.0,12712.0,118.0,76.0,279.0,1461.0,52910.0
22063,138111.0,121694.0,8252.0,637.0,4948.0,333.0,63159.0
36037,58112.0,52697.0,1249.0,477.0,1849.0,501.0,59338.0
54077,33837.0,30759.0,1563.0,88.0,842.0,210.0,48317.0
22093,21357.0,10245.0,10592.0,24.0,343.0,0.0,50661.0
51073,37161.0,31556.0,3003.0,298.0,1287.0,81.0,66701.0
18017,38084.0,30638.0,451.0,646.0,5667.0,135.0,47545.0
54037,56179.0,46896.0,3524.0,827.0,3111.0,124.0,76503.0
40037,71160.0,54308.0,1513.0,386.0,2869.0,7969.0,49578.0
27041,37203.0,35738.0,166.0,111.0,594.0,86.0,60676.0
41009,50851.0,45157.0,269.0,569.0,2534.0,474.0,59714.0
13137,44289.0,34298.0,1351.0,907.0,6401.0,40.0,49140.0
39037,51734.0,49769.0,344.0,236.0,792.0,113.0,52691.0
47009,128443.0,117121.0,3299.0,973.0,4180.0,369.0,54140.0
51099,25890.0,19069.0,4212.0,322.0,1282.0,73.0,87321.0
30093,34814.0,31485.0,205.0,274.0,1597.0,822.0,42237.0
28039,23710.0,20716.0,1908.0,98.0,652.0,227.0,48319.0
36003,47025.0,44391.0,639.0,523.0,744.0,133.0,47033.0
17021,33231.0,31605.0,417.0,212.0,533.0,62.0,52415.0
45027,34017.0,16168.0,16503.0,21.0,1036.0,29.0,37525.0
39111,14090.0,13706.0,39.0,57.0,150.0,5.0,43956.0
24011,32875.0,24975.0,4511.0,218.0,2304.0,80.0,54956.0
20009,26791.0,21895.0,326.0,27.0,3935.0,170.0,50198.0
28081,84915.0,55968.0,24653.0,720.0,2228.0,206.0,47978.0
42047,30608.0,29827.0,160.0,160.0,241.0,76.0,51112.0
47189,132663.0,113507.0,9253.0,1985.0,5372.0,269.0,71513.0
42009,48611.0,47045.0,262.0,187.0,575.0,52.0,49146.0
40021,48599.0,23265.0,634.0,299.0,3424.0,16059.0,40936.0
26101,24444.0,21801.0,655.0,95.0,738.0,369.0,47172.0
18169,31631.0,29889.0,304.0,92.0,805.0,191.0,50637.0
12019,207291.0,152228.0,20242.0,6016.0,20037.0,205.0,62653.0
38089,30876.0,27118.0,668.0,428.0,1638.0,356.0,75708.0
22109,112587.0,75270.0,21513.0,1049.0,5765.0,6285.0,48866.0
55039,102315.0,92042.0,1409.0,1367.0,5125.0,472.0,59373.0
12085,157581.0,123852.0,8564.0,2067.0,21094.0,308.0,57959.0
72139,67780.0,413.0,16.0,0.0,67311.0,0.0,31193.0
51520,16843.0,14702.0,1191.0,9.0,102.0,0.0,37904.0
22105,130504.0,82624.0,38555.0,985.0,5483.0,348.0,46297.0
56013,40076.0,28014.0,235.0,39.0,2753.0,8010.0,54242.0
21047,72263.0,47586.0,14939.0,1094.0,5600.0,326.0,41235.0
28105,49481.0,28032.0,18298.0,1502.0,818.0,36.0,38800.0
51109,35380.0,27338.0,5207.0,252.0,986.0,83.0,59343.0
39083,61215.0,58431.0,602.0,241.0,895.0,65.0,55131.0
55071,79407.0,72170.0,704.0,2182.0,3044.0,382.0,53489.0
54003,113495.0,95601.0,8207.0,1162.0,4795.0,58.0,60615.0
13179,62108.0,24605.0,24775.0,1247.0,7845.0,232.0,45959.0
01015,115098.0,83423.0,23618.0,1065.0,4203.0,227.0,45197.0
